Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CSA,Central and South America,MEX,Mexico,2020,All,Age00,[0],19292,100,,901.1879125
CSA,Central and South America,MEX,Mexico,2020,All,Age01_04,[1-4],3870,100,,43.88745804
CSA,Central and South America,MEX,Mexico,2020,All,Age05_09,[5-9],2251,100,,20.07937374
CSA,Central and South America,MEX,Mexico,2020,All,Age10_14,[10-14],3065,100,,27.51131397
CSA,Central and South America,MEX,Mexico,2020,All,Age15_19,[15-19],9355,100,,83.45529731
CSA,Central and South America,MEX,Mexico,2020,All,Age20_24,[20-24],15742,100,,143.896361
CSA,Central and South America,MEX,Mexico,2020,All,Age25_29,[25-29],20128,100,,186.4433077
CSA,Central and South America,MEX,Mexico,2020,All,Age30_34,[30-34],22583,100,,230.6770084
CSA,Central and South America,MEX,Mexico,2020,All,Age35_39,[35-39],27888,100,,306.793651
CSA,Central and South America,MEX,Mexico,2020,All,Age40_44,[40-44],37453,100,,438.9726823
CSA,Central and South America,MEX,Mexico,2020,All,Age45_49,[45-49],53071,100,,662.0803878
CSA,Central and South America,MEX,Mexico,2020,All,Age50_54,[50-54],67213,100,,970.5961904
CSA,Central and South America,MEX,Mexico,2020,All,Age55_59,[55-59],85449,100,,1464.910148
CSA,Central and South America,MEX,Mexico,2020,All,Age60_64,[60-64],102266,100,,2190.105698
CSA,Central and South America,MEX,Mexico,2020,All,Age65_69,[65-69],108847,100,,3027.31276
CSA,Central and South America,MEX,Mexico,2020,All,Age70_74,[70-74],110842,100,,4493.519298
CSA,Central and South America,MEX,Mexico,2020,All,Age75_79,[75-79],108919,100,,6325.123141
CSA,Central and South America,MEX,Mexico,2020,All,Age80_84,[80-84],104087,100,,9833.387813
CSA,Central and South America,MEX,Mexico,2020,All,Age85_over,[85+],163468,100,,16688.71846
CSA,Central and South America,MEX,Mexico,2020,All,Age_unknown,[Unknown],4169,100,,
CSA,Central and South America,MEX,Mexico,2020,Male,Age00,[0],10819,100,,987.2323185
CSA,Central and South America,MEX,Mexico,2020,Male,Age01_04,[1-4],2190,100,,48.5707233
CSA,Central and South America,MEX,Mexico,2020,Male,Age05_09,[5-9],1312,100,,22.89021803
CSA,Central and South America,MEX,Mexico,2020,Male,Age10_14,[10-14],1792,100,,31.47823698
CSA,Central and South America,MEX,Mexico,2020,Male,Age15_19,[15-19],6757,100,,118.647666
CSA,Central and South America,MEX,Mexico,2020,Male,Age20_24,[20-24],12054,100,,218.958174
CSA,Central and South America,MEX,Mexico,2020,Male,Age25_29,[25-29],15385,100,,285.7471866
CSA,Central and South America,MEX,Mexico,2020,Male,Age30_34,[30-34],16818,100,,354.1815664
CSA,Central and South America,MEX,Mexico,2020,Male,Age35_39,[35-39],20189,100,,464.7785608
CSA,Central and South America,MEX,Mexico,2020,Male,Age40_44,[40-44],25966,100,,644.3595092
CSA,Central and South America,MEX,Mexico,2020,Male,Age45_49,[45-49],35479,100,,937.9108267
CSA,Central and South America,MEX,Mexico,2020,Male,Age50_54,[50-54],43565,100,,1346.242511
CSA,Central and South America,MEX,Mexico,2020,Male,Age55_59,[55-59],53233,100,,1941.045568
CSA,Central and South America,MEX,Mexico,2020,Male,Age60_64,[60-64],62033,100,,2859.62427
CSA,Central and South America,MEX,Mexico,2020,Male,Age65_69,[65-69],64191,100,,3873.456585
CSA,Central and South America,MEX,Mexico,2020,Male,Age70_74,[70-74],63986,100,,5682.638671
CSA,Central and South America,MEX,Mexico,2020,Male,Age75_79,[75-79],60753,100,,7844.380344
CSA,Central and South America,MEX,Mexico,2020,Male,Age80_84,[80-84],54783,100,,12012.0772
CSA,Central and South America,MEX,Mexico,2020,Male,Age85_over,[85+],75006,100,,19152.6523
CSA,Central and South America,MEX,Mexico,2020,Male,Age_unknown,[Unknown],3434,100,,
CSA,Central and South America,MEX,Mexico,2020,Female,Age00,[0],8395,100,,803.473071
CSA,Central and South America,MEX,Mexico,2020,Female,Age01_04,[1-4],1679,100,,38.96385389
CSA,Central and South America,MEX,Mexico,2020,Female,Age05_09,[5-9],939,100,,17.13877388
CSA,Central and South America,MEX,Mexico,2020,Female,Age10_14,[10-14],1273,100,,23.36616711
CSA,Central and South America,MEX,Mexico,2020,Female,Age15_19,[15-19],2596,100,,47.0752079
CSA,Central and South America,MEX,Mexico,2020,Female,Age20_24,[20-24],3682,100,,67.75035338
CSA,Central and South America,MEX,Mexico,2020,Female,Age25_29,[25-29],4741,100,,87.60738881
CSA,Central and South America,MEX,Mexico,2020,Female,Age30_34,[30-34],5761,100,,114.2722715
CSA,Central and South America,MEX,Mexico,2020,Female,Age35_39,[35-39],7696,100,,162.145273
CSA,Central and South America,MEX,Mexico,2020,Female,Age40_44,[40-44],11485,100,,255.0960347
CSA,Central and South America,MEX,Mexico,2020,Female,Age45_49,[45-49],17586,100,,415.4475818
CSA,Central and South America,MEX,Mexico,2020,Female,Age50_54,[50-54],23643,100,,640.9274594
CSA,Central and South America,MEX,Mexico,2020,Female,Age55_59,[55-59],32207,100,,1042.107862
CSA,Central and South America,MEX,Mexico,2020,Female,Age60_64,[60-64],40197,100,,1607.762312
CSA,Central and South America,MEX,Mexico,2020,Female,Age65_69,[65-69],44656,100,,2303.878095
CSA,Central and South America,MEX,Mexico,2020,Female,Age70_74,[70-74],46856,100,,3494.849021
CSA,Central and South America,MEX,Mexico,2020,Female,Age75_79,[75-79],48164,100,,5083.121554
CSA,Central and South America,MEX,Mexico,2020,Female,Age80_84,[80-84],49302,100,,8183.746709
CSA,Central and South America,MEX,Mexico,2020,Female,Age85_over,[85+],88438,100,,15043.21365
CSA,Central and South America,MEX,Mexico,2020,Female,Age_unknown,[Unknown],402,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age00,[0],78,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age01_04,[1-4],1,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age05_09,[5-9],0,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age10_14,[10-14],0,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age15_19,[15-19],2,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age20_24,[20-24],6,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age25_29,[25-29],2,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age30_34,[30-34],4,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age35_39,[35-39],3,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age40_44,[40-44],2,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age45_49,[45-49],6,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age50_54,[50-54],5,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age55_59,[55-59],9,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age60_64,[60-64],36,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age65_69,[65-69],0,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age70_74,[70-74],0,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age75_79,[75-79],2,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age80_84,[80-84],2,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age85_over,[85+],24,100,,
CSA,Central and South America,MEX,Mexico,2020,Unknown,Age_unknown,[Unknown],333,100,,
